pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
1812.10405,qwen-plus,contract,96.5,100.0,100.0,579,559,8,8,100.0,92.9,,121,14954,8768,0.0295,True
1812.10405,qwen-plus,naive,79.1,25.0,100.0,579,458,8,2,100.0,100.0,,121,12359,8360,0.0266,True
1901.06790,qwen-plus,contract,99.6,100.0,100.0,752,749,257,257,100.0,100.0,,29,6013,4419,0.0136,True
1901.06790,qwen-plus,naive,65.0,52.9,100.0,752,489,257,136,95.5,78.6,,29,4317,3292,0.01,True
1901.00802,qwen-plus,contract,98.2,100.0,100.0,998,980,174,174,99.9,99.8,,73,13289,8163,0.027,True
1901.00802,qwen-plus,naive,53.8,25.3,100.0,998,537,174,44,99.2,90.3,,73,9365,7250,0.022,True
1811.04812,qwen-plus,contract,98.5,99.7,100.0,5246,5166,1275,1271,99.9,99.6,,293,31572,19631,0.0645,True
1811.04812,qwen-plus,naive,72.2,63.1,100.0,5246,3785,1275,804,99.6,98.0,,293,23327,17044,0.0527,True
1901.06081,qwen-plus,contract,95.9,100.0,100.0,874,838,100,100,100.0,100.0,,108,14828,10204,0.0323,True
1901.06081,qwen-plus,naive,61.3,34.0,100.0,874,536,100,34,89.5,82.5,,108,11451,8276,0.0257,True
1901.09145,qwen-plus,contract,93.6,100.0,100.0,1086,1016,307,307,100.0,100.0,,152,13995,8188,0.0276,True
1901.09145,qwen-plus,naive,64.2,56.0,100.0,1086,697,307,172,98.4,92.5,,152,11047,6791,0.0224,True
1809.06229,qwen-plus,contract,98.0,99.7,100.0,4708,4613,1874,1868,99.8,99.6,,252,55984,34568,0.1139,True
1903.11719,qwen-plus,contract,96.1,98.8,100.0,1016,976,249,246,99.9,99.5,,68,13474,8431,0.0276,True
1903.11719,qwen-plus,naive,54.0,36.1,100.0,1016,549,249,90,99.2,89.9,,68,10540,6703,0.0218,True
1902.00481,qwen-plus,contract,98.6,99.2,100.0,1450,1430,477,473,99.6,98.4,,89,20509,13109,0.0426,True
1902.00481,qwen-plus,naive,38.6,19.1,100.0,1450,559,477,91,93.0,72.8,,89,14218,10052,0.0315,True
1904.11985,qwen-plus,contract,97.7,100.0,100.0,437,427,100,100,100.0,99.8,,49,10198,7141,0.0224,True
1904.11985,qwen-plus,naive,48.3,12.0,100.0,437,211,100,12,99.8,97.0,,49,8132,6043,0.0186,True
1812.04045,qwen-plus,contract,98.5,99.1,100.0,4459,4392,1833,1816,99.5,98.4,,211,52553,33829,0.1097,True
1812.04045,qwen-plus,naive,54.0,41.1,100.0,4459,2407,1833,753,94.1,76.4,,211,37154,23871,0.0775,True
1902.06393,qwen-plus,contract,98.7,99.2,100.0,3869,3820,849,842,100.0,99.9,,171,26228,16429,0.0538,True
1902.06393,qwen-plus,naive,58.9,26.6,100.0,3869,2277,849,226,98.1,85.5,,171,17648,12716,0.0396,True
1906.08667,qwen-plus,contract,97.3,100.0,100.0,488,475,111,111,100.0,99.7,,108,14888,10433,0.0328,True
1906.08667,qwen-plus,naive,56.6,52.3,100.0,488,276,111,58,93.7,76.3,,108,12865,9815,0.0299,True
1906.12134,qwen-plus,contract,96.4,100.0,100.0,1458,1406,324,324,99.9,99.9,,168,21907,14037,0.0456,True
1906.12134,qwen-plus,naive,50.7,25.6,100.0,1458,739,324,83,99.9,99.9,,168,16082,11789,0.0364,True
