pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
1704.07635,kimi-k2.5,contract,94.5,100.0,100.0,1156,1092,242,242,100.0,100.0,,188,24313,27315,0.0741,True
1704.07635,minimax-m2.5,contract,94.2,99.6,100.0,1156,1089,242,241,99.6,99.9,,188,30542,33987,0.0924,True
1705.02349,qwen3.7-plus-nothink,contract,98.6,100.0,100.0,1432,1412,611,611,100.0,99.9,,84,23516,15755,0.1651,True
1705.02349,qwen3-max-2026-01-23,contract,98.5,99.8,100.0,1432,1411,611,610,100.0,99.9,,84,23414,15905,0.2089,True
1705.02349,glm-4.7,contract,98.7,100.0,100.0,1432,1414,611,611,99.3,99.9,,84,22816,15176,0.0486,True
1705.02349,kimi-k2.5,contract,98.5,99.8,100.0,1432,1411,611,610,100.0,99.9,,84,19914,13207,0.0423,True
1705.02349,minimax-m2.5,contract,98.6,99.8,100.0,1432,1412,611,610,100.0,99.9,,84,22613,21735,0.0616,True
1705.07158,qwen3.7-plus-nothink,contract,96.8,100.0,100.0,695,673,118,118,99.9,99.9,,79,11676,7982,0.0829,True
1705.07158,qwen3-max-2026-01-23,contract,96.7,99.2,100.0,695,672,118,117,99.8,98.8,,79,11530,7416,0.0989,True
1705.07158,glm-4.7,contract,96.8,100.0,100.0,695,673,118,118,99.9,99.8,,79,11297,7428,0.0239,True
1705.07158,kimi-k2.5,contract,96.8,100.0,100.0,695,673,118,118,100.0,100.0,,79,9880,11727,0.0314,True
1705.07158,minimax-m2.5,contract,96.5,100.0,100.0,695,671,118,118,100.0,99.9,,79,11067,14497,0.0378,True
1706.02777,qwen3.7-plus-nothink,contract,83.2,,100.0,488,406,0,0,100.0,,,301,21227,8017,0.1118,True
1706.02777,qwen3-max-2026-01-23,contract,83.2,,100.0,488,406,0,0,100.0,,,301,20769,5216,0.0999,True
1706.02777,glm-4.7,contract,83.2,,100.0,488,406,0,0,100.0,,,301,19843,6240,0.0284,True
1706.02777,kimi-k2.5,contract,87.5,,100.0,488,427,0,0,100.0,,,301,8880,6090,0.0193,True
1706.02777,minimax-m2.5,contract,85.0,,100.0,488,415,0,0,100.0,,,301,19655,13158,0.042,True
1706.03675,qwen3.7-plus-nothink,contract,99.2,99.7,100.0,1416,1405,395,394,99.9,99.9,,89,21054,14304,0.149,True
1706.03675,qwen3-max-2026-01-23,contract,98.9,99.2,100.0,1416,1401,395,392,99.9,99.8,,89,21018,14234,0.1871,True
1706.03675,glm-4.7,contract,99.2,99.7,100.0,1416,1405,395,394,99.9,99.9,,89,20393,13706,0.0437,True
1706.03675,kimi-k2.5,contract,99.4,100.0,100.0,1416,1407,395,395,100.0,100.0,,89,18045,13238,0.0409,True
1706.03675,minimax-m2.5,contract,93.6,92.4,100.0,1416,1325,395,365,95.6,87.3,,89,20087,16275,0.0486,True
1706.03827,qwen3.7-plus-nothink,contract,97.9,99.3,100.0,2234,2186,743,738,99.9,100.0,,275,34642,21859,0.2351,True
1706.03827,qwen3-max-2026-01-23,contract,97.8,99.1,100.0,2234,2184,743,736,99.8,99.6,,275,34368,20647,0.2807,True
1706.03827,glm-4.7,contract,97.9,99.6,100.0,2234,2188,743,740,99.9,100.0,,275,33630,20073,0.067,True
1706.03827,kimi-k2.5,contract,98.0,99.6,100.0,2234,2189,743,740,99.9,100.0,,275,27582,25438,0.0729,True
1706.03827,minimax-m2.5,contract,97.9,99.3,100.0,2234,2186,743,738,99.9,99.9,,275,33698,29975,0.0869,True
1706.05050,qwen3.7-plus-nothink,contract,98.2,99.8,100.0,1794,1762,638,637,99.7,99.3,,200,17131,13048,0.1297,True
1706.05050,qwen3-max-2026-01-23,contract,97.9,98.9,100.0,1794,1756,638,631,99.4,98.3,,200,16976,11496,0.1511,True
1706.05050,glm-4.7,contract,98.3,100.0,100.0,1794,1763,638,638,99.8,99.5,,200,16452,11781,0.0367,True
1706.05050,kimi-k2.5,contract,98.4,100.0,100.0,1794,1765,638,638,100.0,100.0,,200,14728,15716,0.0432,True
1706.05050,minimax-m2.5,contract,98.4,100.0,100.0,1794,1766,638,638,100.0,99.9,,200,16723,21379,0.0561,True
1706.07922,qwen3.7-plus-nothink,contract,99.1,100.0,100.0,561,556,130,130,100.0,99.9,,21,7552,5247,0.0541,True
1706.07922,qwen3-max-2026-01-23,contract,98.9,99.2,100.0,561,555,130,129,100.0,99.9,,21,7552,5402,0.07,True
1706.07922,glm-4.7,contract,99.1,100.0,100.0,561,556,130,130,100.0,99.9,,21,7366,5051,0.016,True
1706.07922,kimi-k2.5,contract,99.5,100.0,100.0,561,558,130,130,100.0,100.0,,21,6646,5163,0.0156,True
1706.07922,minimax-m2.5,contract,95.4,99.2,100.0,561,535,130,129,95.6,99.9,,21,7162,6898,0.0195,True
1706.09667,qwen3.7-plus-nothink,contract,99.4,100.0,100.0,1399,1390,396,396,99.9,99.9,,112,14292,10112,0.1035,True
1706.09667,qwen3-max-2026-01-23,contract,99.3,99.7,100.0,1399,1389,396,395,99.9,100.0,,112,14157,9544,0.1256,True
1706.09667,glm-4.7,contract,99.4,100.0,100.0,1399,1390,396,396,99.9,99.9,,112,13873,9565,0.0302,True
1706.09667,kimi-k2.5,contract,98.6,99.2,100.0,1399,1379,396,393,99.9,99.9,,112,11993,8123,0.0258,True
1706.09667,minimax-m2.5,contract,99.4,100.0,100.0,1399,1390,396,396,99.9,99.9,,112,13796,20819,0.0527,True
1707.01623,qwen3.7-plus-nothink,contract,94.0,100.0,100.0,402,378,105,105,100.0,100.0,,92,10540,7114,0.0743,True
1707.01623,qwen3-max-2026-01-23,contract,94.0,100.0,100.0,402,378,105,105,100.0,100.0,,92,10444,6870,0.091,True
1707.01623,glm-4.7,contract,94.0,100.0,100.0,402,378,105,105,100.0,100.0,,92,10179,6717,0.0216,True
1707.01623,kimi-k2.5,contract,95.3,100.0,100.0,402,383,105,105,100.0,100.0,,92,8527,9233,0.0253,True
1707.01623,minimax-m2.5,contract,94.0,100.0,100.0,402,378,105,105,100.0,100.0,,92,9932,9008,0.026,True
1707.07959,qwen3.7-plus-nothink,contract,99.2,100.0,100.0,5487,5442,1203,1203,100.0,100.0,,200,48947,26292,0.3046,True
1707.07959,qwen3-max-2026-01-23,contract,99.1,99.7,100.0,5487,5435,1203,1199,100.0,99.9,,200,48609,26235,0.3685,True
1707.07959,glm-4.7,contract,99.1,99.9,100.0,5487,5438,1203,1202,100.0,100.0,,200,47671,24733,0.0876,True
